Load (ton),Settlement(mm.), H-pile,W-pile,length,Nbase,start SS,Nave,Medium clay,Stiff clay
0,0,1.5,1.5,43,64,16,53,12,16
163.31,-0.561,1.5,1.5,43,64,16,53,12,16
442.32,-1.656,1.5,1.5,43,64,16,53,12,16
609.73,-2.081,1.5,1.5,43,64,16,53,12,16
803.83,-2.964,1.5,1.5,43,64,16,53,12,16
1005.24,-5.243,1.5,1.5,43,64,16,53,12,16
1177.52,-6.598,1.5,1.5,43,64,16,53,12,16
1366.8,-8.879,1.5,1.5,43,64,16,53,12,16
1556.06,-10.463,1.5,1.5,43,64,16,53,12,16
1556.15,-14.654,1.5,1.5,43,64,16,53,12,16
1769.7,-17.162,1.5,1.5,43,64,16,53,12,16
2007.53,-20.829,1.5,1.5,43,64,16,53,12,16
2027,-23.851,1.5,1.5,43,64,16,53,12,16
2170.22,-28.007,1.5,1.5,43,64,16,53,12,16
2175.14,-30.8,1.5,1.5,43,64,16,53,12,16
2323.24,-36.119,1.5,1.5,43,64,16,53,12,16
2343.08,-56.371,1.5,1.5,43,64,16,53,12,16
2362.83,-72.432,1.5,1.5,43,64,16,53,12,16
2382.6,-89.424,1.5,1.5,43,64,16,53,12,16
2390.14,-101.763,1.5,1.5,43,64,16,53,12,16
2412.24,-114.098,1.5,1.5,43,64,16,53,12,16
2419.77,-125.738,1.5,1.5,43,64,16,53,12,16
2444.31,-138.771,1.5,1.5,43,64,16,53,12,16
2456.67,-149.479,1.5,1.5,43,64,16,53,12,16
2466.59,-159.488,1.5,1.5,43,64,16,53,12,16
2478.91,-168.566,1.5,1.5,43,64,16,53,12,16
0,0,1.8,1.8,43,80,16,55,12,16
109.05,-0.168,1.8,1.8,43,80,16,55,12,16
260.05,-0.505,1.8,1.8,43,80,16,55,12,16
394.28,-1.098,1.8,1.8,43,80,16,55,12,16
536.89,-1.35,1.8,1.8,43,80,16,55,12,16
643.17,-2.029,1.8,1.8,43,80,16,55,12,16
704.72,-2.71,1.8,1.8,43,80,16,55,12,16
883.68,-3.132,1.8,1.8,43,80,16,55,12,16
1001.15,-3.811,1.8,1.8,43,80,16,55,12,16
1146.57,-4.575,1.8,1.8,43,80,16,55,12,16
1319.98,-5.594,1.8,1.8,43,80,16,55,12,16
1485.01,-6.869,1.8,1.8,43,80,16,55,12,16
1630.46,-7.974,1.8,1.8,43,80,16,55,12,16
1630.59,-10.363,1.8,1.8,43,80,16,55,12,16
1784.42,-11.383,1.8,1.8,43,80,16,55,12,16
1790.05,-12.065,1.8,1.8,43,80,16,55,12,16
1949.44,-12.487,1.8,1.8,43,80,16,55,12,16
1949.49,-13.426,1.8,1.8,43,80,16,55,12,16
2111.73,-14.786,1.8,1.8,43,80,16,55,12,16
2111.79,-15.81,1.8,1.8,43,80,16,55,12,16
2276.83,-17.341,1.8,1.8,43,80,16,55,12,16
2279.72,-18.962,1.8,1.8,43,80,16,55,12,16
2442,-21.091,1.8,1.8,43,80,16,55,12,16
2442.07,-22.371,1.8,1.8,43,80,16,55,12,16
2593.25,-25.865,1.8,1.8,43,80,16,55,12,16
0,0,1.2,3,62.5,40,16,45,12,16
311.51,-1.311,1.2,3,62.5,40,16,45,12,16
497.77,-2.492,1.2,3,62.5,40,16,45,12,16
756.26,-2.48,1.2,3,62.5,40,16,45,12,16
999.54,-3.459,1.2,3,62.5,40,16,45,12,16
1189.6,-4.045,1.2,3,62.5,40,16,45,12,16
1489.9,-5.618,1.2,3,62.5,40,16,45,12,16
1786.4,-6.793,1.2,3,62.5,40,16,45,12,16
1820.61,-8.577,1.2,3,62.5,40,16,45,12,16
1976.46,-8.768,1.2,3,62.5,40,16,45,12,16
2219.74,-9.748,1.2,3,62.5,40,16,45,12,16
2501.03,-11.123,1.2,3,62.5,40,16,45,12,16
2751.91,-12.499,1.2,3,62.5,40,16,45,12,16
2995.19,-13.876,1.2,3,62.5,40,16,45,12,16
3208.06,-15.651,1.2,3,62.5,40,16,45,12,16
3443.74,-18.418,1.2,3,62.5,40,16,45,12,16
3588.19,-20.196,1.2,3,62.5,40,16,45,12,16
3725.03,-27.928,1.2,3,62.5,40,16,45,12,16
3835.27,-34.47,1.2,3,62.5,40,16,45,12,16
3998.72,-43.391,1.2,3,62.5,40,16,45,12,16
4051.94,-45.968,1.2,3,62.5,40,16,45,12,16
4055.74,-48.746,1.2,3,62.5,40,16,45,12,16
4162.18,-51.32,1.2,3,62.5,40,16,45,12,16
4321.83,-56.67,1.2,3,62.5,40,16,45,12,16
4378.85,-60.437,1.2,3,62.5,40,16,45,12,16
4489.08,-67.773,1.2,3,62.5,40,16,45,12,16
4492.89,-78.488,1.2,3,62.5,40,16,45,12,16
4561.31,-86.818,1.2,3,62.5,40,16,45,12,16
4648.74,-96.338,1.2,3,62.5,40,16,45,12,16
4736.17,-106.057,1.2,3,62.5,40,16,45,12,16
4812.19,-115.577,1.2,3,62.5,40,16,45,12,16
